20001,0,this Time,23.1,123.2,25.5,44.6,81.1
20002,1,this Time,29.59,0.0,88.2,4.6,81.54
20003,2,this Time,200.45,443.2,65.3,10.0,0.0
20004,3,this Time,87.36,97.0,0.0,15.0,0.0
20005,4,this Time,300.45,85.2,75.5,65.0,0.0
20006,5,this Time,23.1,123.2,25.5,44.6,81.1
20007,6,this Time,29.59,0.0,88.2,4.6,81.54
20008,7,this Time,200.45,443.2,65.3,0.0,0.0
20009,8,this Time,87.36,97.0,0.0,0.0,0.0
20010,9,this Time,87.36,97.0,0.0,0.0,0.0
10010,2,Mon Oct 23 00:18:53 AEDT 2017,33.0,312.0,55.0,74.0,23.0
10011,0,Mon Oct 23 01:39:04 AEDT 2017,3.0,2.0,13.0,13.0,3.0
10012,0,Mon Oct 23 08:36:17 AEDT 2017,0.0,0.0,0.0,10.0,0.0
